EQUIPAMIENTO;TRANSPORTE;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL
2 Pistas de baloncesto 3x3 2  Pistas de bolos y petanca 1 Pista de chito 1 Tenis de mesa  Acceso libre.;Metro: Mar de Cristal (lineas 4 y 8), San Lorenzo (linea 4).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b769fbdc8e61110VgnVCM1000000b205a0aRCRD;BUCARAMANGA;AVENIDA;V;2;;;;;MADRID;MADRID;28033;4;PINAR DEL REY;16;HORTALEZA;445851;4480361;4.047.216.617.986.820;-36.387.819.347.036.400;;;
2 Pistas de baloncesto Circuito de bicicletas Circuito de vida  Acceso libre.;Metro: Mar de Cristal (lineas 4 y 8).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=591a16c6b58b5110VgnVCM1000000b205a0aRCRD;TRIBALDOS;CALLE;V;39;;;;;MADRID;MADRID;28043;3;CANILLAS;16;HORTALEZA;445787;4479794;4.046.706.170.530.560;-36.394.831.969.012.300;;;
2 Pistas de baloncesto Pista de futbol sala  Acceso libre.;Metro: Pavones (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1986f30a37391110VgnVCM2000000c205a0aRCRD;ENCOMIENDA DE PALACIOS;CALLE;V;334;;;;;MADRID;MADRID;28030;1;PAVONES;14;MORATALAZ;446115;4471953;40.396.441.400.543.200;-36.349.518.376.090.600;;;
2 Pistas de baloncesto Pista de futbol sala.  Acceso libre.;Metro: Estrella (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f796e6292bdd210VgnVCM1000000b205a0aRCRD;CORREGIDOR DIEGO DE VALDERRABANO;CALLE;V;26;;;;;MADRID;MADRID;28030;4;MEDIA LEGUA;14;MORATALAZ;444075;4473438;40.409.690.049.949.700;-36.591.194.955.518.300;;;
2 pistas de baloncesto transversales. 1 pista de polideportiva con marcajes de futbol-sala. 1 pista de chito.  Acceso libre.;Metro: Concha Espina , Alfonso XIII (lineas 4 y 9).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7e0a56363291110VgnVCM1000000b205a0aRCRD;MARCENADO;CALLE;V;51;;;;;MADRID;MADRID;28002;3;CIUDAD JARDIN;5;CHAMARTIN;442812;4477906;4.044.984.679.168.730;-36.744.024.936.791.400;;;
2 Pistas de baloncesto.  Acceso libre.;Metro: Ciudad Lineal (linea 5), Pueblo Nuevo (lineas 5 y 7).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7eb59c02f6d91110VgnVCM1000000b205a0aRCRD;DOCTOR CIRAJAS;CALLE;V;3;;;;CUBIERTA P.A.R.;MADRID;MADRID;28017;2;PUEBLO NUEVO;15;CIUDAD LINEAL;445934;4476293;40.435.515.856.536.500;-36.374.563.613.179.700;;;
2 Pistas de baloncesto.  Acceso libre.;Metro: Barrio de la Concepcion (linea 7).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e958d66a1891110VgnVCM1000000b205a0aRCRD;AGASTIA;CALLE;V;9;;;;;MADRID;MADRID;28027;5;SAN PASCUAL;15;CIUDAD LINEAL;445037;4477178;4.044.344.226.753.930;-3.648.104.686.749.390;;;
2 Pistas de baloncesto.  Acceso libre.;Metro: Fuencarral (linea 10).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e81ce88d415310VgnVCM2000000c205a0aRCRD;CORCUBION;PLAZA;V;13;;;;;MADRID;MADRID;28029;4;EL PILAR;8;FUENCARRAL-EL PARDO;440032;4480949;404.770.674.126.128;-37.074.678.471.403.200;;;
2 pistas de baloncesto. 1 pista de patinaje. 2 campos de bolos y petanca.  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea63124827ee0110VgnVCM1000000b205a0aRCRD;ALFONSO XIII;AVENIDA;V;136;;;;;MADRID;MADRID;28016;5;NUEVA ESPAÑA;5;CHAMARTIN;443267;4479019;4.045.991.170.957.250;-36.691.352.169.675.900;;;
2 Pistas de futbol sala 1 Pista de baloncesto.  Acceso libre.;Renfe: Las aguilas (linea C5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d6c2ad4612e12110VgnVCM1000000b205a0aRCRD;LAS AGUILAS;AVENIDA;V;110;;;;CUBIERTA DE P.A.R.;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;435330;4470790;40.385.197.861.740.800;-37.619.024.102.187.700;;;
